puskesmas_id,wilayah,puskesmas_name,puskesmas_title,n_reviews,n_empty,n_very_short,n_with_rating,rating_mean,rating_median,rating_std,text_length_mean,text_length_median
PKM_SBY_036,Surabaya,Jeruk,Puskesmas Jeruk,290,61,71,290,4.0,5.0,1.65,132.22,69.0
PKM_SBY_037,Surabaya,Kalirungkut,Puskesmas Kalirungkut,432,126,166,432,3.68,5.0,1.79,92.59,35.5
PKM_SBY_038,Surabaya,Kedungdoro,Puskesmas Kedungdoro,311,60,81,311,3.64,5.0,1.78,128.62,59.0
PKM_SBY_039,Surabaya,Kenjeran,Puskesmas Kenjeran,468,161,197,468,3.96,5.0,1.7,91.35,30.0
PKM_SBY_040,Surabaya,Ketabang,Puskesmas Ketabang,800,240,351,800,4.71,5.0,0.96,63.76,25.0
PKM_SBY_041,Surabaya,Krembangan Selatan,Puskesmas Krembangan Selatan,368,58,81,368,3.78,5.0,1.74,140.11,58.0
PKM_SBY_042,Surabaya,Lidah Kulon,Puskesmas Lidah Kulon,250,56,79,250,4.16,5.0,1.45,118.14,45.0
PKM_SBY_043,Surabaya,Lontar,Puskesmas Lontar Surabaya,459,64,108,459,4.17,5.0,1.53,99.24,53.0
PKM_SBY_044,Surabaya,Manukan Kulon,Puskesmas Manukan Kulon,558,124,183,558,4.01,5.0,1.63,118.87,54.5
PKM_SBY_045,Surabaya,Medokan Ayu,Puskesmas Medokan Ayu,1202,278,398,1202,4.12,5.0,1.56,107.15,39.0
PKM_SBY_046,Surabaya,Mojo,Puskesmas Mojo Surabaya,842,335,413,842,4.01,5.0,1.68,84.79,21.5
PKM_SBY_047,Surabaya,Pacar Keling,Puskesmas Pacar Keling Surabaya,423,97,121,423,3.57,5.0,1.82,127.83,66.0
PKM_SBY_048,Surabaya,Pegirian,Pegirian Public Health Center,174,39,58,174,3.78,5.0,1.74,111.87,38.5
PKM_SBY_049,Surabaya,Peneleh,Puskesmas Peneleh,372,96,128,372,3.95,5.0,1.7,101.69,43.0
PKM_SBY_050,Surabaya,Perak Timur,Puskesmas Perak Timur,465,195,216,465,3.95,5.0,1.66,76.86,25.0
PKM_SBY_051,Surabaya,Pucangsewu,Puskesmas Pucang Sewu,667,239,285,667,4.39,5.0,1.34,82.77,31.0
PKM_SBY_052,Surabaya,Rangkah,Puskesmas Rangkah Surabaya,623,227,290,623,4.29,5.0,1.43,74.15,25.0
PKM_SBY_053,Surabaya,Sememi,Puskesmas Sememi,707,256,299,707,4.06,5.0,1.63,101.62,35.0
PKM_SBY_054,Surabaya,Sidotopo,Puskesmas Sidotopo,346,43,82,346,4.08,5.0,1.55,91.34,45.0
PKM_SBY_055,Surabaya,Sidotopo Wetan,Puskesmas Sidotopo Wetan,812,200,252,812,4.24,5.0,1.46,108.37,53.0
PKM_SBY_056,Surabaya,Simolawang,Puskesmas Simolawang,381,74,108,381,4.48,5.0,1.31,81.39,47.0
PKM_SBY_057,Surabaya,Simomulyo,Puskesmas Simomulyo,732,225,269,732,4.18,5.0,1.52,94.34,42.0
PKM_SBY_058,Surabaya,Tambakrejo,Puskesmas Tambakrejo,510,129,158,510,4.18,5.0,1.55,91.65,49.0
PKM_SBY_059,Surabaya,Tanah Kali Kedinding,Puskesmas Tanah Kali Kedinding,1178,284,386,1178,4.5,5.0,1.24,93.15,43.0
PKM_SBY_060,Surabaya,Tanjungsari,Puskesmas Tanjungsari,538,79,112,538,4.33,5.0,1.41,128.05,67.5
PKM_SBY_061,Surabaya,Tembok Dukuh,Puskesmas Tembok Dukuh,454,173,205,454,3.69,5.0,1.82,100.84,28.0
PKM_SBY_062,Surabaya,Tenggilis,Puskesmas Tenggilis,661,159,200,661,4.3,5.0,1.44,104.51,49.0
PKM_SBY_063,Surabaya,Wonokusumo,Wonokusumo Public Health Center,836,172,306,836,4.34,5.0,1.38,80.98,34.0
