Puskesmas,Dimensi,z,p_value,Kesimpulan
Balongsari,Empathy,-0.001,0.9989,Gagal tolak H0 (setara)
Benowo,Empathy,0.055,0.9564,Gagal tolak H0 (setara)
Dr Soetomo,Empathy,5.687,0.0,Tolak H0 — lebih sering dikeluhkan
Dupak,Empathy,1.378,0.1682,Gagal tolak H0 (setara)
Gading,Empathy,-0.765,0.4442,Gagal tolak H0 (setara)
Gundih,Empathy,1.9,0.0575,Gagal tolak H0 (setara)
Jeruk,Empathy,1.902,0.0572,Gagal tolak H0 (setara)
Kalirungkut,Empathy,-3.171,0.0015,Tolak H0 — lebih jarang dikeluhkan
Kedungdoro,Empathy,1.46,0.1442,Gagal tolak H0 (setara)
Kenjeran,Empathy,2.595,0.0094,Tolak H0 — lebih sering dikeluhkan
Ketabang,Empathy,2.368,0.0179,Tolak H0 — lebih sering dikeluhkan
Krembangan Selatan,Empathy,0.069,0.9447,Gagal tolak H0 (setara)
Lidah Kulon,Empathy,0.669,0.5038,Gagal tolak H0 (setara)
Lontar,Empathy,3.305,0.0009,Tolak H0 — lebih sering dikeluhkan
Manukan Kulon,Empathy,-0.285,0.7758,Gagal tolak H0 (setara)
Medokan Ayu,Empathy,-2.685,0.0073,Tolak H0 — lebih jarang dikeluhkan
Mojo,Empathy,2.561,0.0104,Tolak H0 — lebih sering dikeluhkan
Pacar Keling,Empathy,-1.784,0.0744,Gagal tolak H0 (setara)
Pegirian,Empathy,0.79,0.4298,Gagal tolak H0 (setara)
Peneleh,Empathy,-0.776,0.4377,Gagal tolak H0 (setara)
Perak Timur,Empathy,0.422,0.6727,Gagal tolak H0 (setara)
Pucangsewu,Empathy,-0.77,0.4413,Gagal tolak H0 (setara)
Rangkah,Empathy,-0.101,0.9198,Gagal tolak H0 (setara)
Sememi,Empathy,1.297,0.1945,Gagal tolak H0 (setara)
Sidotopo,Empathy,-0.28,0.7792,Gagal tolak H0 (setara)
Sidotopo Wetan,Empathy,3.694,0.0002,Tolak H0 — lebih sering dikeluhkan
Simolawang,Empathy,-0.548,0.584,Gagal tolak H0 (setara)
Simomulyo,Empathy,-0.101,0.9195,Gagal tolak H0 (setara)
Tambakrejo,Empathy,1.868,0.0618,Gagal tolak H0 (setara)
Tanah Kali Kedinding,Empathy,0.01,0.9922,Gagal tolak H0 (setara)
Tanjungsari,Empathy,1.656,0.0977,Gagal tolak H0 (setara)
Tembok Dukuh,Empathy,1.506,0.132,Gagal tolak H0 (setara)
Tenggilis,Empathy,0.32,0.7488,Gagal tolak H0 (setara)
Wonokusumo,Empathy,2.462,0.0138,Tolak H0 — lebih sering dikeluhkan
Bandarharjo,Empathy,-1.775,0.0759,Gagal tolak H0 (setara)
Bangetayu,Empathy,-2.908,0.0036,Tolak H0 — lebih jarang dikeluhkan
Bugangan,Empathy,-3.439,0.0006,Tolak H0 — lebih jarang dikeluhkan
Bulu Lor,Empathy,-1.077,0.2816,Gagal tolak H0 (setara)
Candilama,Empathy,-1.851,0.0642,Gagal tolak H0 (setara)
Gayamsari,Empathy,-4.154,0.0,Tolak H0 — lebih jarang dikeluhkan
Genuk,Empathy,-0.567,0.5708,Gagal tolak H0 (setara)
Gunungpati,Empathy,-3.813,0.0001,Tolak H0 — lebih jarang dikeluhkan
Halmahera,Empathy,-2.656,0.0079,Tolak H0 — lebih jarang dikeluhkan
Kagok,Empathy,-3.487,0.0005,Tolak H0 — lebih jarang dikeluhkan
Karangayu,Empathy,-3.462,0.0005,Tolak H0 — lebih jarang dikeluhkan
Karangdoro,Empathy,-0.39,0.6964,Gagal tolak H0 (setara)
Karangmalang,Empathy,-1.981,0.0475,Tolak H0 — lebih jarang dikeluhkan
Kedungmundu,Empathy,-5.135,0.0,Tolak H0 — lebih jarang dikeluhkan
Krobokan,Empathy,-1.989,0.0467,Tolak H0 — lebih jarang dikeluhkan
Lamper Tengah,Empathy,-4.14,0.0,Tolak H0 — lebih jarang dikeluhkan
Lebdosari,Empathy,-0.976,0.3292,Gagal tolak H0 (setara)
Mangkang,Empathy,-0.808,0.4189,Gagal tolak H0 (setara)
Manyaran,Empathy,-1.159,0.2464,Gagal tolak H0 (setara)
Mijen,Empathy,-1.694,0.0902,Gagal tolak H0 (setara)
Miroto,Empathy,-0.779,0.4361,Gagal tolak H0 (setara)
Ngaliyan,Empathy,-2.031,0.0422,Tolak H0 — lebih jarang dikeluhkan
Ngemplak Simongan,Empathy,-3.157,0.0016,Tolak H0 — lebih jarang dikeluhkan
Ngesrep,Empathy,-0.728,0.4668,Gagal tolak H0 (setara)
Padangsari,Empathy,-3.157,0.0016,Tolak H0 — lebih jarang dikeluhkan
Pandanaran,Empathy,-1.846,0.0649,Gagal tolak H0 (setara)
Pegandan,Empathy,-1.465,0.1428,Gagal tolak H0 (setara)
Poncol,Empathy,-1.667,0.0954,Gagal tolak H0 (setara)
Pudakpayung,Empathy,-1.693,0.0904,Gagal tolak H0 (setara)
Purwoyoso,Empathy,0.394,0.6935,Gagal tolak H0 (setara)
Rowosari,Empathy,-4.107,0.0,Tolak H0 — lebih jarang dikeluhkan
Sekaran,Empathy,-3.597,0.0003,Tolak H0 — lebih jarang dikeluhkan
Srondol,Empathy,-1.195,0.232,Gagal tolak H0 (setara)
Tambakaji,Empathy,-2.039,0.0414,Tolak H0 — lebih jarang dikeluhkan
Telogosari Kulon,Empathy,-1.171,0.2415,Gagal tolak H0 (setara)
Telogosari Wetan,Empathy,0.285,0.7756,Gagal tolak H0 (setara)
Karanganyar,Empathy,-0.701,0.4833,Gagal tolak H0 (setara)
Bambanglipuro,Reliability,-1.621,0.1049,Gagal tolak H0 (setara)
Banguntapan 1,Reliability,-1.006,0.3145,Gagal tolak H0 (setara)
Banguntapan 2,Reliability,-1.107,0.2685,Gagal tolak H0 (setara)
Banguntapan 3,Reliability,-2.86,0.0042,Tolak H0 — lebih jarang dikeluhkan
Bantul 1,Reliability,0.409,0.6826,Gagal tolak H0 (setara)
Bantul 2,Reliability,-1.365,0.1724,Gagal tolak H0 (setara)
Dlingo 1,Reliability,-2.112,0.0347,Tolak H0 — lebih jarang dikeluhkan
Dlingo 2,Reliability,-0.041,0.967,Gagal tolak H0 (setara)
Imogiri 1,Reliability,0.891,0.373,Gagal tolak H0 (setara)
Imogiri 2,Reliability,-0.623,0.5335,Gagal tolak H0 (setara)
Jetis 1,Reliability,1.45,0.1471,Gagal tolak H0 (setara)
Jetis 2,Reliability,-0.241,0.8093,Gagal tolak H0 (setara)
Kasihan 1,Reliability,-2.299,0.0215,Tolak H0 — lebih jarang dikeluhkan
Kasihan 2,Reliability,0.681,0.4959,Gagal tolak H0 (setara)
Kretek,Reliability,0.894,0.3711,Gagal tolak H0 (setara)
Pajangan,Reliability,-0.358,0.7202,Gagal tolak H0 (setara)
Pandak 1,Reliability,-0.313,0.7542,Gagal tolak H0 (setara)
Pandak 2,Reliability,-0.059,0.9533,Gagal tolak H0 (setara)
Piyungan,Reliability,1.257,0.2086,Gagal tolak H0 (setara)
Pleret,Reliability,-0.356,0.7217,Gagal tolak H0 (setara)
Pundong,Reliability,1.836,0.0663,Gagal tolak H0 (setara)
Sanden,Reliability,-0.999,0.3179,Gagal tolak H0 (setara)
Sedayu 1,Reliability,0.519,0.604,Gagal tolak H0 (setara)
Sedayu 2,Reliability,0.894,0.3711,Gagal tolak H0 (setara)
Sewon 1,Reliability,0.498,0.6188,Gagal tolak H0 (setara)
Sewon 2,Reliability,-0.21,0.8334,Gagal tolak H0 (setara)
Srandakan,Reliability,-0.111,0.9115,Gagal tolak H0 (setara)
Balas  Klumprik,Reliability,2.04,0.0413,Tolak H0 — lebih sering dikeluhkan
Bangkingan,Reliability,-2.144,0.032,Tolak H0 — lebih jarang dikeluhkan
Banyu  Urip,Reliability,2.219,0.0265,Tolak H0 — lebih sering dikeluhkan
Bulak  Banteng,Reliability,1.791,0.0732,Gagal tolak H0 (setara)
Dukuh  Kupang,Reliability,0.186,0.8525,Gagal tolak H0 (setara)
Gayungan,Reliability,1.55,0.1212,Gagal tolak H0 (setara)
Gunung  Anyar,Reliability,0.185,0.853,Gagal tolak H0 (setara)
Jagir,Reliability,0.678,0.498,Gagal tolak H0 (setara)
