term,z_score,n_neg,n_pos
baik bukan,-2.75,18,1
katanya nunggu,-2.75,18,1
malah nyolot,-2.75,16,0
tetep,-2.75,109,86
astaga,-2.75,18,1
sorry,-2.75,18,1
gratisan,-2.75,16,0
haduh,-2.75,18,1
petugas malah,-2.75,16,0
kebijakan,-2.74,26,6
mei,-2.74,26,6
bekas,-2.74,23,4
muncul,-2.74,26,6
maaf sebelumnya,-2.74,23,4
cerita,-2.73,39,16
menanyakan,-2.73,63,38
ngk,-2.73,34,12
sop,-2.73,61,36
sebagai,-2.73,182,172
pemkot,-2.73,39,16
bahasa,-2.72,47,23
laki2,-2.72,30,9
justru,-2.72,30,9
kenal,-2.72,30,9
pkpr,-2.71,21,3
batuk pilek,-2.71,35,13
kritik,-2.71,35,13
ngotot,-2.71,21,3
percaya,-2.71,41,18
kata dokter,-2.71,21,3
tau apa,-2.71,21,3
surat istirahat,-2.71,21,3
sy tanya,-2.71,21,3
tindak lanjuti,-2.7,24,5
barusan,-2.7,50,26
nangani,-2.7,24,5
benerin,-2.68,19,2
disuruh menunggu,-2.68,19,2
tutupnya,-2.68,19,2
vaksin pertama,-2.68,19,2
gaboleh,-2.68,19,2
beli obat,-2.68,19,2
detak,-2.68,19,2
eri cahyadi,-2.68,19,2
malah tambah,-2.68,19,2
blum,-2.68,19,2
padahal lain,-2.68,19,2
punya etika,-2.68,19,2
08 30,-2.67,17,1
jumat,-2.67,61,37
datang 11,-2.67,17,1
lagi minta,-2.67,17,1
lama malah,-2.67,17,1
maen,-2.67,17,1
maksudnya,-2.67,17,1
marahi,-2.67,17,1
beretika,-2.67,17,1
naik,-2.67,61,37
masuk dokter,-2.67,28,8
nah,-2.67,32,11
dipegang,-2.67,17,1
ambil nomer,-2.67,28,8
apa²,-2.67,17,1
sopan,-2.67,412,472
tnya,-2.67,28,8
tlp,-2.67,17,1
disidak,-2.67,17,1
37,-2.67,17,1
niat berobat,-2.66,15,0
padahal sepi,-2.66,15,0
nada keras,-2.66,15,0
mengeluhkan,-2.66,15,0
malah dibilang,-2.66,15,0
biar tau,-2.66,22,4
masuk periksa,-2.66,22,4
birokrasi,-2.66,25,6
malah sibuk,-2.66,15,0
malah sakit,-2.66,15,0
buruk bagian,-2.66,15,0
kia tolong,-2.66,15,0
dilewati,-2.66,22,4
dimarahin,-2.66,22,4
apalah,-2.66,22,4
mahal,-2.65,48,25
agustus,-2.65,33,12
terlewat,-2.64,34,13
dibawah,-2.62,20,3
mengenakan,-2.62,20,3
berobat bukan,-2.62,20,3
demam tinggi,-2.62,20,3
masuk kia,-2.62,20,3
bersikap,-2.62,26,7
luama,-2.62,20,3
hadir,-2.62,30,10
kerudung,-2.62,20,3
kesannya,-2.62,26,7
eror,-2.62,20,3
orang2,-2.62,35,14
sblmnya,-2.62,20,3
nanganin,-2.62,20,3
nyesel,-2.62,35,14
pd,-2.62,55,32
papa,-2.62,26,7
27,-2.61,23,5
diruangan,-2.61,23,5
kunjung,-2.61,23,5
diberi,-2.6,145,132
kog,-2.6,18,2
lagian,-2.6,18,2
padahal daftar,-2.6,18,2
wanita,-2.6,36,15
tolong ramah,-2.6,18,2
sakit bukan,-2.6,18,2
tolong evaluasi,-2.6,18,2
layar,-2.59,45,23
sekian,-2.59,45,23
farmasi lama,-2.58,16,1
baru dateng,-2.58,16,1
nyampe,-2.58,24,6
tau sakit,-2.58,16,1
30 belum,-2.58,16,1
000,-2.58,47,25
tolong dokter,-2.58,16,1
ngeselin,-2.58,16,1
padahal anak,-2.58,16,1
atitude,-2.58,16,1
bagian depan,-2.58,38,17
mending usah,-2.58,16,1
jawabnya ketus,-2.58,16,1
keluhan apa,-2.58,16,1
instansi,-2.58,32,12
17 30,-2.58,16,1
knapa,-2.58,16,1
dianggap,-2.58,16,1
gigi kurang,-2.58,16,1
lak,-2.58,16,1
kayaknya,-2.58,32,12
putih,-2.57,28,9
rujukan dipersulit,-2.57,21,4
rapat,-2.57,21,4
satu petugas,-2.57,21,4
melihat,-2.57,71,49
datangnya,-2.57,28,9
desember,-2.57,21,4
dikarenakan,-2.57,28,9
turun,-2.56,40,19
infeksi,-2.55,41,20
ceritanya,-2.54,19,3
wawancara,-2.54,19,3
menyuruh,-2.54,19,3
please,-2.54,19,3
observasi,-2.54,19,3
lama hampir,-2.54,19,3
bkn,-2.54,19,3
kata kata,-2.54,19,3
wkwk,-2.54,29,10
gemuk,-2.54,29,10
minta maaf,-2.54,25,7
diare,-2.53,35,15
antara,-2.53,44,23
pekerja,-2.53,43,22
sedang sakit,-2.52,36,16
perbaikan,-2.51,68,47
didalam,-2.51,47,26
kembali lagi,-2.51,37,17
16,-2.51,37,17
urusan,-2.51,47,26
wajah,-2.51,37,17
28,-2.51,26,8
bersangkutan,-2.5,17,2
petugas bilang,-2.5,17,2
lama kurang,-2.5,17,2
tolong pihak,-2.5,17,2
besoknya,-2.5,31,12
darurat,-2.5,55,34
kamis,-2.5,64,43
stengah,-2.5,17,2
solusi,-2.5,91,72
suda,-2.5,17,2
sampaikan,-2.5,31,12
diminum,-2.5,17,2
kurang cepat,-2.49,23,6
bukan bpjs,-2.49,20,4
lamanya,-2.49,23,6
lamaa,-2.49,23,6
sama2,-2.49,20,4
sengaja,-2.49,23,6
suntikan,-2.49,20,4
sakit berobat,-2.49,27,9
2026,-2.49,32,13
msih,-2.49,20,4
belum lagi,-2.49,23,6
gendut,-2.49,20,4
tolong segera,-2.48,15,1
lagi padahal,-2.48,15,1
mbak2,-2.48,40,20
berarti,-2.48,40,20
dipanggil malah,-2.48,15,1
fungsinya,-2.48,15,1
buruk tolong,-2.48,15,1
padahal sy,-2.48,15,1
memberikan surat,-2.48,15,1
suruh daftar,-2.48,15,1
taruh,-2.48,15,1
judess,-2.48,15,1
caranya,-2.47,33,14
terdekat,-2.47,42,22
jarak,-2.46,34,15
bln,-2.46,28,10
ket,-2.46,24,7
minim,-2.46,34,15
tinggal,-2.46,128,116
berkali2,-2.46,24,7
ngurus,-2.45,65,45
dirujuk,-2.44,49,29
bapil,-2.44,18,3
klw,-2.44,21,5
cek darah,-2.44,61,41
kaca,-2.44,18,3
keterangan dokter,-2.44,21,5
bukan dokter,-2.44,18,3
didengar,-2.44,18,3
mendahulukan,-2.44,21,5
maps,-2.44,21,5
tanyain,-2.44,29,11
anak demam,-2.44,18,3
sakit batuk,-2.44,18,3
anak umur,-2.43,25,8
berkacamata,-2.43,25,8
bahan,-2.43,25,8
ramah kurang,-2.43,25,8
kotor,-2.42,30,12
rekam,-2.42,30,12
ngelayani,-2.41,16,2
segini,-2.41,16,2
apa nunggu,-2.41,16,2
anehnya,-2.41,16,2
belakangan,-2.41,16,2
jijik,-2.41,16,2
bintang satu,-2.41,16,2
dipanggil padahal,-2.41,16,2
dirubah,-2.41,16,2
waktunya,-2.41,39,20
pendaftaran kurang,-2.4,22,6
magang,-2.4,78,60
bb,-2.4,40,21
gusi,-2.4,22,6
nomor urut,-2.4,26,9
tinggi badan,-2.4,22,6
tutur,-2.4,26,9
cowo,-2.4,22,6
13 00,-2.4,22,6
daftar ulang,-2.39,14,1
bintang,-2.39,243,263
olah,-2.39,14,1
mbulet,-2.39,14,1
rujukan nunggu,-2.39,14,1
mulutnya,-2.39,19,4
nada ketus,-2.39,14,1
terulang,-2.39,14,1
rujukan persulit,-2.39,14,1
cara bicara,-2.39,14,1
gaenak,-2.39,14,1
kasian anak,-2.39,14,1
ditindaklanjuti,-2.39,14,1
14 00,-2.39,19,4
ramah terkesan,-2.39,14,1
ora,-2.39,14,1
mintain,-2.39,14,1
diliat,-2.39,19,4
buku kia,-2.38,27,10
ngak,-2.38,27,10
hrus,-2.37,23,7
jauh,-2.37,173,174
ksih,-2.37,23,7
inisiatif,-2.37,23,7
sabtu,-2.36,118,107
numpuk,-2.35,17,3
juli,-2.35,29,12
2019,-2.35,17,3
nunggu panggilan,-2.35,20,5
kesal,-2.35,17,3
dipanggilnya,-2.35,17,3
pake masker,-2.35,17,3
preman,-2.35,17,3
karuan,-2.35,17,3
pengguna bpjs,-2.35,20,5
mainan,-2.34,38,20
pke,-2.34,24,8
kaget,-2.33,40,22
sbg,-2.33,39,21
bukanya,-2.33,30,13
bnyak,-2.33,39,21
fokus,-2.32,25,9
drpd,-2.32,25,9
penting,-2.32,57,39
detak jantung,-2.31,15,2
gagal,-2.31,15,2
sek,-2.31,15,2
periksakan anak,-2.31,15,2
komunikasi,-2.31,70,53
memakai,-2.31,51,33
pemerintahan,-2.31,15,2
judesnya,-2.31,15,2
mental,-2.31,32,15
membuang,-2.31,15,2
pemanggilan,-2.31,45,27
gatal,-2.31,15,2
positif,-2.31,49,31
kalok,-2.31,15,2
mohon segera,-2.31,15,2
ketus ramah,-2.31,15,2
kurang teliti,-2.31,15,2
memilih,-2.31,32,15
diri,-2.31,49,31
balik lg,-2.31,15,2
ap,-2.31,15,2
beri,-2.3,66,49
trnyata,-2.3,18,4
pakai umum,-2.3,18,4
pengumuman,-2.3,18,4
kepentingan,-2.3,18,4
kejelasan,-2.3,18,4
operasional,-2.29,34,17
kelar,-2.28,22,7
ramah padahal,-2.28,22,7
dibaca,-2.28,22,7
tele,-2.28,27,11
sak,-2.28,22,7
rmh,-2.28,27,11
error,-2.28,22,7
bag,-2.28,35,18
08 00,-2.28,27,11
laki laki,-2.28,27,11
sangat2,-2.27,37,20
sekedar,-2.27,36,19
kecuali,-2.26,39,22
kelamaan,-2.26,23,8
baru masuk,-2.26,23,8
disuntik,-2.26,19,5
dipanggil lagi,-2.26,19,5
kontak,-2.26,23,8
masalahnya,-2.26,19,5
rekam medis,-2.26,23,8
darah tinggi,-2.26,19,5
kinerja,-2.26,57,40
seminggu,-2.25,40,23
telinga,-2.25,52,35
belum masuk,-2.25,16,3
eh pas,-2.25,16,3
kurang informatif,-2.25,16,3
39,-2.25,16,3
berobat,-2.25,681,875
lama tolong,-2.25,16,3
dosis,-2.25,45,28
datanya,-2.25,16,3
dokter umumnya,-2.25,29,13
obat habis,-2.25,16,3
bpjs apa,-2.25,16,3
dicabut,-2.25,29,13
sia sia,-2.25,16,3
stetoskop,-2.25,16,3
baik jangan,-2.25,16,3
nimbang,-2.25,16,3
layak,-2.25,42,25
sesuai urutan,-2.24,30,14
apotik,-2.23,31,15
sprti,-2.23,24,9
ketemu,-2.23,64,48
solusinya,-2.22,20,6
berani,-2.22,20,6
tanya jawab,-2.22,20,6
suaranya,-2.22,20,6
tetes,-2.22,20,6
bercanda,-2.22,32,16
nggu,-2.21,14,2
ujung ujungnya,-2.21,14,2
nomor baru,-2.21,14,2
yakin,-2.21,25,10
krg,-2.21,25,10
padahal dokter,-2.21,14,2
satu dokter,-2.21,25,10
mengantri,-2.21,58,42
info,-2.21,112,104
tanya bagian,-2.21,14,2
online nomer,-2.21,14,2
sakitnya apa,-2.21,14,2
tolong dibenahi,-2.21,14,2
seh,-2.21,14,2
pria,-2.2,17,4
tanyak,-2.2,17,4
ngeluh,-2.2,17,4
dulu sekarang,-2.2,17,4
petugas lain,-2.2,26,11
mengenakkan,-2.2,17,4
ramah tanya,-2.2,17,4
wkwkwk,-2.2,17,4
malu,-2.2,26,11
sekalipun,-2.2,17,4
model,-2.19,21,7
september,-2.19,21,7
periksakan,-2.19,21,7
keperluan,-2.19,51,35
alat,-2.18,80,67
3x,-2.18,46,30
tata,-2.18,40,24
rasanya,-2.18,42,26
awam,-2.18,44,28
datang awal,-2.17,28,13
lagi dokter,-2.17,28,13
05,-2.17,22,8
infus,-2.17,22,8
bakalan,-2.17,22,8
ayah,-2.17,22,8
apa obat,-2.16,18,5
dalam keadaan,-2.16,18,5
keliatan,-2.16,18,5
kambuh,-2.16,18,5
terdengar,-2.15,15,3
pungli,-2.15,15,3
kondisinya,-2.15,15,3
cuti,-2.15,30,15
jadikan,-2.15,15,3
bpjs kelas,-2.15,15,3
ajaa,-2.15,15,3
disuru,-2.15,15,3
pas dateng,-2.15,15,3
satpam,-2.15,58,43
kata dokternya,-2.15,15,3
berkerudung,-2.15,15,3
lgsg,-2.14,54,39
mama,-2.14,23,9
didahulukan,-2.14,31,16
ramahnya,-2.14,23,9
cek lab,-2.14,87,76
cenderung,-2.14,23,9
dokter spesialis,-2.14,31,16
dokter jaga,-2.13,33,18
berhijab,-2.13,19,6
ditempat,-2.13,33,18
tiket,-2.13,24,10
ngajak,-2.13,19,6
milih,-2.13,19,6
orangtua,-2.13,19,6
ktp,-2.12,162,169
risma,-2.11,13,2
sakit demam,-2.11,13,2
ngasi,-2.11,13,2
teriak2,-2.11,13,2
swasta,-2.11,39,24
selanjutnya,-2.11,42,27
ribu,-2.11,25,11
tau dokter,-2.11,13,2
30 datang,-2.11,13,2
menjawab,-2.11,59,45
apa gimana,-2.11,13,2
minum obat,-2.11,39,24
dinas terkait,-2.11,13,2
bpjs mandiri,-2.11,25,11
ramah ketus,-2.11,13,2
dateng lagi,-2.11,13,2
ala,-2.11,13,2
bagian cek,-2.11,13,2
kurus,-2.11,13,2
jadinya,-2.11,38,23
sepertinya,-2.11,46,31
diatas,-2.11,25,11
bersihkan,-2.11,37,22
ambil hasil,-2.1,16,4
diagnosis,-2.1,20,7
dipriksa,-2.1,16,4
lagi jangan,-2.1,16,4
dulu pernah,-2.1,26,12
dimintai,-2.1,16,4
stok,-2.1,16,4
sekolah,-2.08,53,39
pertama,-2.08,429,532
jelaskan,-2.07,51,37
keluhannya apa,-2.07,21,8
petugas depan,-2.07,29,15
memanggil,-2.07,28,14
berapa,-2.07,117,114
nafas,-2.06,17,5
hnya,-2.06,17,5
tdi,-2.06,17,5
diawal,-2.06,17,5
lama menunggu,-2.06,50,36
kepastian,-2.06,17,5
dimarahi,-2.06,17,5
alami,-2.06,30,16
kelewatan,-2.06,17,5
spesialis,-2.06,48,34
buru,-2.05,32,18
nunggu 10,-2.05,14,3
panggil sesuai,-2.05,14,3
rontgen,-2.05,32,18
semoga diperbaiki,-2.05,14,3
bahasanya,-2.05,14,3
tdak,-2.05,14,3
ajah,-2.05,14,3
koreksi,-2.05,14,3
bidang,-2.04,35,21
mengalami,-2.04,36,22
operasi,-2.04,41,27
juni,-2.04,23,10
demi,-2.04,40,26
ambil nomor,-2.04,37,23
faskesnya,-2.04,23,10
nunggunya,-2.04,36,22
satu lagi,-2.04,23,10
asli,-2.03,55,42
dengerin,-2.03,18,6
kurang nyaman,-2.02,24,11
hilang,-2.01,25,12
26,-2.01,25,12
jauh2,-2.01,25,12
bayar parkir,-2.0,15,4
alatnya,-2.0,26,13
meninggalkan,-2.0,15,4
periksa sakit,-2.0,15,4
langsung suruh,-2.0,15,4
dibiarkan,-2.0,15,4
dftar,-2.0,15,4
belakang,-2.0,59,47
2020,-2.0,19,7
bagian informasi,-2.0,19,7
datang pukul,-2.0,15,4
perasaan,-2.0,19,7
nomornya,-2.0,15,4
ngisi,-2.0,15,4
foto,-1.99,57,45
wktu,-1.99,27,14
suntik tt,-1.99,27,14
fungsi,-1.98,20,8
sulit,-1.98,28,15
kaki,-1.98,45,32
kecelakaan,-1.98,29,16
urus,-1.97,41,28
alias,-1.97,30,17
umumnya,-1.97,55,43
berdarah,-1.96,16,5
ikhlas,-1.96,36,23
judes2,-1.96,16,5
dihari,-1.96,21,9
screening,-1.96,37,24
anak usia,-1.96,16,5
hasil swab,-1.96,16,5
sakit dokter,-1.96,16,5
berisik,-1.96,16,5
sakit sakit,-1.96,16,5
cetak,-1.96,21,9
telp,-1.96,21,9
asam,-1.96,34,21
periksa kandungan,-1.96,16,5
ditensi,-1.96,21,9
manajemen,-1.94,22,10
lama minta,-1.94,13,3
datang dulu,-1.94,13,3
datang 10,-1.94,13,3
siapapun,-1.94,13,3
sy tau,-1.94,13,3
sy datang,-1.94,13,3
tindakan,-1.94,170,186
pas ambil,-1.94,13,3
lama baru,-1.94,13,3
kalimat,-1.94,13,3
utamakan,-1.93,17,6
depan pintu,-1.93,17,6
tk,-1.93,17,6
bertele tele,-1.93,23,11
enaknya,-1.93,17,6
status,-1.93,17,6
pendek,-1.93,17,6
web,-1.93,23,11
rewel,-1.92,45,33
bertele,-1.92,24,12
lama dokter,-1.92,24,12
badannya,-1.92,24,12
sebentar,-1.91,42,30
bapaknya,-1.91,25,13
bayangkan,-1.9,18,7
dijaga,-1.9,27,15
dijadikan,-1.9,26,14
test,-1.9,52,41
dokternya masih,-1.9,18,7
maret,-1.9,27,15
buka 30,-1.89,14,4
kalaupun,-1.89,14,4
cowok,-1.89,30,18
keterbatasan,-1.89,14,4
santai,-1.89,35,23
maka,-1.89,33,21
jdi,-1.89,50,39
judes judes,-1.89,14,4
pakek bpjs,-1.89,14,4
mohon ditingkatkan,-1.89,35,23
ksana,-1.89,14,4
sedang hamil,-1.89,14,4
nomer awal,-1.89,14,4
segera ditangani,-1.89,14,4
nomernya,-1.89,14,4
isi,-1.89,36,24
dada,-1.89,14,4
alamat,-1.89,28,16
nikah,-1.89,38,26
customer,-1.89,31,19
diobati,-1.89,14,4
dalam kondisi,-1.88,19,8
datang terlambat,-1.88,19,8
2024,-1.86,45,34
memperbaiki,-1.86,20,9
obat obat,-1.86,20,9
datang telat,-1.85,15,5
15 00,-1.85,15,5
adil,-1.85,15,5
membaca,-1.85,21,10
asam lambung,-1.85,15,5
lagi petugas,-1.85,21,10
px,-1.85,15,5
keluar masuk,-1.85,15,5
kelihatan,-1.85,21,10
memutuskan,-1.84,22,11
kepuskesmas,-1.84,22,11
11 00,-1.84,22,11
sj,-1.83,23,12
menyampaikan,-1.83,58,49
lagi bagian,-1.82,16,6
dipanggil masuk,-1.82,16,6
perban,-1.82,16,6
pengecekan,-1.82,25,14
hati2,-1.82,12,3
dr dokter,-1.82,16,6
disaat,-1.82,16,6
komentar,-1.82,12,3
dipake,-1.82,12,3
lagi umum,-1.82,12,3
ramah ditanya,-1.82,12,3
ky,-1.82,16,6
apalagi,-1.82,301,369
bsa,-1.82,24,13
tukang parkirnya,-1.81,33,22
offline,-1.81,30,19
jantung,-1.81,31,20
digunakan,-1.81,27,16
rasakan,-1.81,27,16
dokter anak,-1.81,27,16
temen,-1.81,30,19
tanda,-1.81,26,15
anak sy,-1.81,34,23
punya bpjs,-1.8,17,7
nyari,-1.8,17,7
lab lama,-1.78,13,4
mic,-1.78,13,4
cek suhu,-1.78,13,4
inget,-1.78,13,4
30menit,-1.78,13,4
kenyataan,-1.78,13,4
daftarkan,-1.78,13,4
lngsung,-1.78,18,8
beda lain,-1.78,13,4
bener²,-1.78,18,8
awal daftar,-1.78,13,4
terlalu lama,-1.78,121,128
rujukan lama,-1.78,13,4
rujuk rs,-1.78,18,8
lab darah,-1.78,13,4
akhir,-1.77,41,31
sperti,-1.77,19,9
mengganggu,-1.75,20,10
oktober,-1.75,20,10
malem,-1.74,14,5
masih lama,-1.74,14,5
petugas umum,-1.74,14,5
rujukan bpjs,-1.74,21,11
dibelakang,-1.74,14,5
periksa lain,-1.74,14,5
nunggu hasil,-1.74,21,11
pakai masker,-1.74,14,5
ditindak lanjuti,-1.74,14,5
januari,-1.73,24,14
pelan,-1.73,30,20
saran,-1.73,176,202
kiri,-1.72,27,17
pula,-1.72,67,62
berdasarkan,-1.72,27,17
monitor,-1.72,25,15
negatif,-1.72,28,18
ibu²,-1.71,15,6
rsud,-1.71,15,6
ksini,-1.71,15,6
tugasnya,-1.71,15,6
prnh,-1.71,15,6
sebaiknya,-1.71,49,41
dokter cewek,-1.71,15,6
dipindah,-1.71,15,6
ttep,-1.71,15,6
kaku,-1.71,15,6
buru2,-1.71,15,6
lagi periksa,-1.71,15,6
memeriksa,-1.7,54,47
ikut,-1.7,83,82
pribadi,-1.7,48,40
yng,-1.69,16,7
ramah minta,-1.69,16,7
tipes,-1.69,16,7
nunggunya lama,-1.69,16,7
usg,-1.69,191,224
no urut,-1.68,17,8
4x,-1.68,17,8
peduli lindungi,-1.68,17,8
copot,-1.68,17,8
februari,-1.68,17,8
sayangkan,-1.68,17,8
gunakan,-1.68,17,8
milik,-1.68,17,8
mencari,-1.67,35,26
laen,-1.66,12,4
tekanan,-1.66,18,9
online no,-1.66,12,4
anak sya,-1.66,18,9
memungkinkan,-1.66,12,4
baru mulai,-1.66,12,4
hr,-1.66,33,24
berikan,-1.66,61,56
kenceng,-1.66,12,4
diinfokan,-1.66,12,4
ramah tolong,-1.66,18,9
ditanya keluhan,-1.66,12,4
menyesal,-1.66,12,4
berobat sakit,-1.66,12,4
baik tolong,-1.66,12,4
pensiun,-1.66,12,4
berapa lama,-1.66,12,4
sakit periksa,-1.65,19,10
bijak,-1.65,19,10
menerima,-1.65,78,77
penyakitnya,-1.65,20,11
pemberitahuan,-1.65,19,10
bersihin,-1.64,21,12
loketnya,-1.64,29,20
sebulan,-1.64,21,12
kinerjanya,-1.64,28,19
tetangga,-1.64,21,12
layanin,-1.64,21,12
pengguna,-1.64,29,20
drop,-1.63,13,5
baru tau,-1.63,24,15
23,-1.63,25,16
ortu,-1.63,24,15
tutur kata,-1.63,13,5
memberikan obat,-1.63,13,5
dokter disana,-1.63,13,5
not,-1.63,25,16
bpjs bpjs,-1.63,13,5
dokter muda,-1.63,26,17
resep dokter,-1.63,13,5
ttp,-1.63,46,39
halus,-1.63,25,16
rs besar,-1.63,13,5
sangat²,-1.63,13,5
terlihat,-1.62,51,45
2023,-1.61,37,29
berhenti,-1.6,14,6
lama dipanggil,-1.6,14,6
datang tepat,-1.6,14,6
tlng,-1.6,14,6
sudh,-1.6,14,6
bpjs bukan,-1.6,14,6
kia anak,-1.6,14,6
berjilbab,-1.6,14,6
pukul 10,-1.6,14,6
rb,-1.6,14,6
29,-1.6,14,6
virus,-1.6,14,6
do,-1.6,14,6
oh,-1.59,34,26
pertama datang,-1.58,15,7
soalnya,-1.58,67,65
terkait,-1.58,94,99
vaksin kedua,-1.58,15,7
sembuh,-1.57,129,145
bermasalah,-1.57,16,8
orgnya,-1.57,16,8
hubungi,-1.57,16,8
kasirnya,-1.57,16,8
mas2,-1.57,16,8
sesuatu,-1.57,16,8
dewasa,-1.56,28,20
kurang jelas,-1.56,17,9
kehadiran,-1.56,17,9
12 00,-1.56,17,9
permisi,-1.56,17,9
dll,-1.56,99,106
penuh,-1.56,92,97
arahkan,-1.55,37,30
1x,-1.55,18,10
tht,-1.55,26,18
dokter kia,-1.55,19,11
antigen,-1.55,27,19
datang periksa,-1.55,18,10
pertolongan,-1.55,27,19
10 00,-1.54,23,15
dftr,-1.54,21,13
ketemu dokter,-1.54,21,13
senior,-1.54,23,15
dl,-1.54,23,15
total,-1.54,21,13
diberitahu,-1.53,11,4
kedalam,-1.53,11,4
menurut kurang,-1.53,11,4
apa langsung,-1.53,11,4
kurang menyenangkan,-1.53,11,4
cara kerjanya,-1.53,11,4
tau namanya,-1.53,11,4
tensi darah,-1.53,11,4
ksni,-1.53,11,4
katanya masih,-1.53,11,4
mtbs,-1.52,41,35
pendaftaran,-1.51,776,1077
pasang,-1.51,33,26
rata2,-1.5,12,5
slesai,-1.5,12,5
aslinya,-1.5,12,5
ngerasa,-1.5,12,5
belum tau,-1.5,12,5
lama ramah,-1.5,12,5
diperbolehkan,-1.5,12,5
menulis,-1.5,12,5
pihak terkait,-1.5,12,5
tb,-1.49,49,45
petugas bagian,-1.49,30,23
ramah sakit,-1.48,13,6
ramah apa,-1.48,13,6
paginya,-1.48,13,6
terlanjur,-1.48,13,6
ibuk,-1.48,29,22
ambil darah,-1.48,29,22
petugas kia,-1.47,36,30
dokter periksa,-1.47,14,7
fisik,-1.47,26,19
pukul 08,-1.47,14,7
kirim,-1.47,14,7
dokter bertugas,-1.47,14,7
bawa bayi,-1.47,14,7
smp,-1.46,25,18
nyuntik,-1.46,15,8
antrianya,-1.46,15,8
layani,-1.46,102,113
mulut,-1.46,35,29
vitamin,-1.45,46,42
lagi dalam,-1.45,22,15
kemaren,-1.45,34,28
rujukan dokter,-1.45,16,9
kedatangan,-1.45,34,28
kesan,-1.44,32,26
memakai bpjs,-1.44,17,10
bagian gigi,-1.44,18,11
bawa anak,-1.44,32,26
kabar,-1.44,18,11
nganter,-1.44,20,13
06,-1.44,21,14
tanya2,-1.44,20,13
07 30,-1.44,33,27
demikian,-1.44,17,10
kerumah,-1.44,19,12
satunya,-1.44,21,14
01,-1.44,17,10
dibersihkan,-1.44,17,10
tes lab,-1.44,18,11
dipakai,-1.44,18,11
opname,-1.43,31,25
apotek,-1.43,38,33
berbayar,-1.43,31,25
lakukan,-1.42,30,24
perubahan,-1.42,61,61
lepas,-1.41,29,23
sombong,-1.4,41,37
diruang,-1.39,27,21
kartu,-1.39,73,77
sebelah,-1.39,50,48
periksa dokter,-1.39,34,29
gula,-1.39,40,36
bingung,-1.39,102,115
sby,-1.38,44,41
merasakan,-1.38,33,28
berlubang,-1.38,26,20
cara penyampaian,-1.38,11,5
hahaha,-1.38,11,5
takutnya,-1.38,11,5
dipoli umum,-1.38,11,5
disebut,-1.38,11,5
jaga depan,-1.38,11,5
nanyain,-1.38,11,5
mengecek,-1.38,11,5
dianjurkan,-1.38,11,5
keterangan sehat,-1.37,68,71
hidup,-1.37,24,18
kota surabaya,-1.37,24,18
disarankan,-1.37,48,46
datang daftar,-1.36,12,6
ngerasain,-1.36,12,6
covid,-1.36,87,96
kesekian,-1.36,12,6
sesuai nomer,-1.36,23,17
bagian kasir,-1.36,12,6
luka,-1.36,63,65
rambut,-1.36,12,6
dokter kandungan,-1.36,12,6
pollll,-1.36,12,6
keluhan sakit,-1.35,22,16
memastikan,-1.35,22,16
eh ternyata,-1.35,13,7
jelasin,-1.35,42,39
sim,-1.35,13,7
cewe,-1.35,13,7
urus surat,-1.35,13,7
dpn,-1.35,21,15
tubuh,-1.34,14,8
november,-1.34,18,12
meminta rujukan,-1.34,20,14
jalur,-1.34,19,13
sertifikat vaksin,-1.34,15,9
aq,-1.34,20,14
otomatis,-1.34,18,12
berfungsi,-1.34,14,8
perpanjangan,-1.34,36,32
60,-1.34,14,8
semisal,-1.34,15,9
diloket,-1.34,14,8
dr,-1.33,540,744
ukur,-1.33,17,11
datang 30,-1.33,16,10
anak dokter,-1.33,16,10
kasus,-1.33,17,11
lindungi,-1.33,17,11
vit,-1.33,16,10
rencana,-1.33,17,11
sakit gigi,-1.32,34,30
imunisasi,-1.31,297,391
umum dokter,-1.3,26,21
mengambil,-1.3,38,35
check,-1.28,31,27
speaker,-1.26,21,16
kis,-1.26,29,25
kolesterol,-1.26,21,16
mbk,-1.26,48,48
dibuka,-1.25,20,15
sempat,-1.25,47,47
menumpuk,-1.25,20,15
belajar,-1.25,58,61
hb,-1.25,20,15
memeriksakan,-1.25,20,15
pda,-1.24,10,5
jatuh,-1.24,19,14
kritik saran,-1.24,10,5
kulit,-1.24,19,14
skli,-1.24,10,5
dibatasi,-1.24,10,5
periksa minta,-1.24,10,5
bandingkan,-1.24,10,5
tindak lanjut,-1.24,10,5
dokter rs,-1.24,10,5
biar cepet,-1.24,10,5
ambil no,-1.24,19,14
obat dokter,-1.24,10,5
gantian,-1.24,10,5
rugi,-1.24,10,5
pertolongan pertama,-1.23,11,6
langsung dokter,-1.23,11,6
lagi hamil,-1.23,11,6
pas daftar,-1.23,11,6
sabaran,-1.23,11,6
tensinya,-1.23,11,6
rasa,-1.23,70,77
nik,-1.23,11,6
meminta maaf,-1.23,11,6
lucu,-1.23,32,29
berguna,-1.23,17,12
lubang,-1.22,13,8
kuning,-1.22,14,9
wajahnya,-1.22,13,8
sdg,-1.22,12,7
diarahin,-1.22,14,9
kepanasan,-1.22,12,7
akibat,-1.22,13,8
lama lagi,-1.22,16,11
kurang paham,-1.22,13,8
jum,-1.22,16,11
masuk igd,-1.22,12,7
pasien2,-1.22,13,8
pelatihan,-1.22,14,9
swab antigen,-1.22,13,8
