id_puskesmas,puskesmas,wilayah,dimensi,n_ulasan,n_keluhan,komposisi_%,intensitas,intensitas_CI95,intensitas_shrunk,skor_1_5,kepercayaan,cukup_dinilai
PKM_BTL_017,Pandak 1,Bantul,Tangibles,33,2,4.3,0.061,"[0.02, 0.20]",0.059,3.43,Cukup banyak data,True
PKM_BTL_018,Pandak 2,Bantul,Tangibles,18,1,3.6,0.056,"[0.01, 0.26]",0.057,3.33,Datanya sedang,True
PKM_BTL_019,Piyungan,Bantul,Tangibles,40,1,1.6,0.025,"[0.00, 0.13]",0.041,1.79,Cukup banyak data,True
PKM_BTL_020,Pleret,Bantul,Tangibles,47,6,7.7,0.128,"[0.06, 0.25]",0.094,4.78,Cukup banyak data,True
PKM_BTL_021,Pundong,Bantul,Tangibles,29,0,0.0,0.0,"[0.00, 0.12]",0.034,1.35,Datanya sedang,True
PKM_BTL_022,Sanden,Bantul,Tangibles,23,2,5.3,0.087,"[0.02, 0.27]",0.068,3.93,Datanya sedang,True
PKM_BTL_023,Sedayu 1,Bantul,Tangibles,28,4,8.7,0.143,"[0.06, 0.31]",0.091,4.72,Datanya sedang,True
PKM_BTL_024,Sedayu 2,Bantul,Tangibles,26,0,0.0,0.0,"[0.00, 0.13]",0.035,1.41,Datanya sedang,True
PKM_BTL_025,Sewon 1,Bantul,Tangibles,116,5,2.4,0.043,"[0.02, 0.10]",0.047,2.23,Cukup banyak data,True
PKM_BTL_026,Sewon 2,Bantul,Tangibles,111,8,4.2,0.072,"[0.04, 0.14]",0.068,3.93,Cukup banyak data,True
PKM_BTL_027,Srandakan,Bantul,Tangibles,16,0,0.0,0.0,"[0.00, 0.19]",0.041,1.79,Datanya sedang,True
PKM_SBY_001,Balas  Klumprik,Surabaya,Tangibles,28,1,2.3,0.036,"[0.01, 0.18]",0.049,2.45,Datanya sedang,True
PKM_SBY_002,Bangkingan,Surabaya,Tangibles,28,3,6.8,0.107,"[0.04, 0.27]",0.077,4.34,Datanya sedang,True
PKM_SBY_003,Banyu  Urip,Surabaya,Tangibles,86,5,3.3,0.058,"[0.03, 0.13]",0.058,3.39,Cukup banyak data,True
PKM_SBY_004,Bulak  Banteng,Surabaya,Tangibles,66,12,9.9,0.182,"[0.11, 0.29]",0.133,4.97,Cukup banyak data,True
PKM_SBY_005,Dukuh  Kupang,Surabaya,Tangibles,146,4,1.6,0.027,"[0.01, 0.07]",0.034,1.35,Cukup banyak data,True
PKM_SBY_006,Gayungan,Surabaya,Tangibles,123,5,2.3,0.041,"[0.02, 0.09]",0.045,2.1,Cukup banyak data,True
PKM_SBY_007,Gunung  Anyar,Surabaya,Tangibles,157,8,2.9,0.051,"[0.03, 0.10]",0.052,2.76,Cukup banyak data,True
PKM_SBY_008,Jagir,Surabaya,Tangibles,144,7,2.8,0.049,"[0.02, 0.10]",0.051,2.67,Cukup banyak data,True
PKM_SBY_009,Jemursari,Surabaya,Tangibles,75,3,2.7,0.04,"[0.01, 0.11]",0.046,2.17,Cukup banyak data,True
PKM_SBY_010,Kalijudan,Surabaya,Tangibles,69,0,0.0,0.0,"[0.00, 0.05]",0.022,1.06,Cukup banyak data,True
PKM_SBY_011,Kebonsari,Surabaya,Tangibles,110,7,3.3,0.064,"[0.03, 0.13]",0.062,3.58,Cukup banyak data,True
PKM_SBY_012,Kedurus,Surabaya,Tangibles,64,1,1.0,0.016,"[0.00, 0.08]",0.032,1.22,Cukup banyak data,True
PKM_SBY_013,Keputih,Surabaya,Tangibles,149,16,6.2,0.107,"[0.07, 0.17]",0.096,4.84,Cukup banyak data,True
PKM_SBY_014,Klampis  Ngasem,Surabaya,Tangibles,71,2,1.6,0.028,"[0.01, 0.10]",0.039,1.63,Cukup banyak data,True
PKM_SBY_015,Made,Surabaya,Tangibles,58,2,2.4,0.034,"[0.01, 0.12]",0.044,1.98,Cukup banyak data,True
PKM_SBY_016,Menur,Surabaya,Tangibles,115,7,3.1,0.061,"[0.03, 0.12]",0.06,3.46,Cukup banyak data,True
PKM_SBY_017,Morokrembangan,Surabaya,Tangibles,100,8,4.6,0.08,"[0.04, 0.15]",0.073,4.21,Cukup banyak data,True
PKM_SBY_018,Mulyorejo,Surabaya,Tangibles,73,3,2.3,0.041,"[0.01, 0.11]",0.047,2.23,Cukup banyak data,True
PKM_SBY_019,Ngagel  Rejo,Surabaya,Tangibles,88,4,2.5,0.045,"[0.02, 0.11]",0.049,2.45,Cukup banyak data,True
PKM_SBY_020,Pakis,Surabaya,Tangibles,66,2,1.7,0.03,"[0.01, 0.10]",0.041,1.79,Cukup banyak data,True
PKM_SBY_021,Putat  Jaya,Surabaya,Tangibles,78,4,3.0,0.051,"[0.02, 0.12]",0.053,2.86,Cukup banyak data,True
PKM_SBY_022,Sawah  Pulo,Surabaya,Tangibles,29,1,1.9,0.034,"[0.01, 0.17]",0.048,2.42,Datanya sedang,True
PKM_SBY_023,Sawahan,Surabaya,Tangibles,77,8,6.7,0.104,"[0.05, 0.19]",0.087,4.62,Cukup banyak data,True
PKM_SBY_024,Sidosermo,Surabaya,Tangibles,1,0,0.0,0.0,"[0.00, 0.79]",0.056,3.14,Data terbatas,False
PKM_SBY_025,Siwalankerto,Surabaya,Tangibles,81,3,2.0,0.037,"[0.01, 0.10]",0.044,1.98,Cukup banyak data,True
PKM_SBY_026,Tambak  Wedi,Surabaya,Tangibles,52,4,3.9,0.077,"[0.03, 0.18]",0.068,3.93,Cukup banyak data,True
PKM_SBY_027,Wiyung,Surabaya,Tangibles,109,0,0.0,0.0,"[0.00, 0.03]",0.016,1.0,Cukup banyak data,True
PKM_SBY_028,Wonokromo,Surabaya,Tangibles,82,4,2.6,0.049,"[0.02, 0.12]",0.052,2.76,Cukup banyak data,True
PKM_SBY_029,Asemrowo,Surabaya,Tangibles,60,3,2.7,0.05,"[0.02, 0.14]",0.053,2.86,Cukup banyak data,True
PKM_SBY_030,Balongsari,Surabaya,Tangibles,85,4,2.9,0.047,"[0.02, 0.11]",0.05,2.64,Cukup banyak data,True
PKM_SBY_031,Benowo,Surabaya,Tangibles,46,0,0.0,0.0,"[0.00, 0.08]",0.027,1.13,Cukup banyak data,True
PKM_SBY_032,Dr Soetomo,Surabaya,Tangibles,134,9,4.1,0.067,"[0.04, 0.12]",0.065,3.77,Cukup banyak data,True
PKM_SBY_033,Dupak,Surabaya,Tangibles,54,2,2.0,0.037,"[0.01, 0.13]",0.046,2.17,Cukup banyak data,True
PKM_SBY_034,Gading,Surabaya,Tangibles,142,14,5.9,0.099,"[0.06, 0.16]",0.089,4.69,Cukup banyak data,True
PKM_SBY_035,Gundih,Surabaya,Tangibles,68,6,5.1,0.088,"[0.04, 0.18]",0.076,4.28,Cukup banyak data,True
PKM_SBY_036,Jeruk,Surabaya,Tangibles,49,1,1.1,0.02,"[0.00, 0.11]",0.037,1.5,Cukup banyak data,True
PKM_SBY_037,Kalirungkut,Surabaya,Tangibles,109,8,4.2,0.073,"[0.04, 0.14]",0.069,4.02,Cukup banyak data,True
PKM_SBY_038,Kedungdoro,Surabaya,Tangibles,73,4,2.9,0.055,"[0.02, 0.13]",0.056,3.14,Cukup banyak data,True
PKM_SBY_039,Kenjeran,Surabaya,Tangibles,92,1,0.6,0.011,"[0.00, 0.06]",0.025,1.09,Cukup banyak data,True
PKM_SBY_040,Ketabang,Surabaya,Tangibles,43,2,2.7,0.047,"[0.01, 0.15]",0.052,2.76,Cukup banyak data,True
PKM_SBY_041,Krembangan Selatan,Surabaya,Tangibles,94,4,2.5,0.043,"[0.02, 0.10]",0.047,2.23,Cukup banyak data,True
PKM_SBY_042,Lidah Kulon,Surabaya,Tangibles,33,3,5.4,0.091,"[0.03, 0.24]",0.072,4.09,Cukup banyak data,True
PKM_SBY_043,Lontar,Surabaya,Tangibles,70,2,1.6,0.029,"[0.01, 0.10]",0.039,1.63,Cukup banyak data,True
PKM_SBY_044,Manukan Kulon,Surabaya,Tangibles,113,7,3.3,0.062,"[0.03, 0.12]",0.061,3.52,Cukup banyak data,True
PKM_SBY_045,Medokan Ayu,Surabaya,Tangibles,211,19,5.1,0.09,"[0.06, 0.14]",0.085,4.56,Cukup banyak data,True
PKM_SBY_046,Mojo,Surabaya,Tangibles,162,3,1.0,0.019,"[0.01, 0.05]",0.027,1.13,Cukup banyak data,True
PKM_SBY_047,Pacar Keling,Surabaya,Tangibles,117,10,5.0,0.085,"[0.05, 0.15]",0.078,4.43,Cukup banyak data,True
PKM_SBY_048,Pegirian,Surabaya,Tangibles,36,2,3.2,0.056,"[0.02, 0.18]",0.056,3.14,Cukup banyak data,True
PKM_SBY_049,Peneleh,Surabaya,Tangibles,72,2,1.7,0.028,"[0.01, 0.10]",0.039,1.63,Cukup banyak data,True
PKM_SBY_050,Perak Timur,Surabaya,Tangibles,87,7,5.0,0.08,"[0.04, 0.16]",0.073,4.21,Cukup banyak data,True
PKM_SBY_051,Pucangsewu,Surabaya,Tangibles,78,5,3.4,0.064,"[0.03, 0.14]",0.062,3.58,Cukup banyak data,True
PKM_SBY_052,Rangkah,Surabaya,Tangibles,82,3,1.9,0.037,"[0.01, 0.10]",0.044,1.98,Cukup banyak data,True
PKM_SBY_053,Sememi,Surabaya,Tangibles,127,7,3.1,0.055,"[0.03, 0.11]",0.056,3.14,Cukup banyak data,True
