id_puskesmas,dimensi,z,p_value,vs_peer,n_peer
PKM_SMG_009,Empathy,-2.656,0.0079,lebih jarang dikeluhkan,8223
PKM_SMG_010,Empathy,-3.487,0.0005,lebih jarang dikeluhkan,8216
PKM_SMG_011,Empathy,-3.462,0.0005,lebih jarang dikeluhkan,8199
PKM_SMG_012,Empathy,-0.39,0.6964,setara,8220
PKM_SMG_013,Empathy,-1.981,0.0475,lebih jarang dikeluhkan,8242
PKM_SMG_014,Empathy,-5.135,0.0,lebih jarang dikeluhkan,8178
PKM_SMG_015,Empathy,-1.989,0.0467,lebih jarang dikeluhkan,8228
PKM_SMG_016,Empathy,-4.14,0.0,lebih jarang dikeluhkan,8244
PKM_SMG_017,Empathy,-0.976,0.3292,setara,8220
PKM_SMG_018,Empathy,-0.808,0.4189,setara,8259
PKM_SMG_019,Empathy,-1.159,0.2464,setara,8225
PKM_SMG_020,Empathy,-1.694,0.0902,setara,8191
PKM_SMG_021,Empathy,-0.779,0.4361,setara,8242
PKM_SMG_022,Empathy,-2.031,0.0422,lebih jarang dikeluhkan,8190
PKM_SMG_023,Empathy,-3.157,0.0016,lebih jarang dikeluhkan,8245
PKM_SMG_024,Empathy,-0.728,0.4668,setara,8234
PKM_SMG_025,Empathy,-3.157,0.0016,lebih jarang dikeluhkan,8245
PKM_SMG_026,Empathy,-1.846,0.0649,setara,8229
PKM_SMG_027,Empathy,-1.465,0.1428,setara,8265
PKM_SMG_028,Empathy,-1.667,0.0954,setara,8228
PKM_SMG_029,Empathy,-1.693,0.0904,setara,8246
PKM_SMG_030,Empathy,0.394,0.6935,setara,8240
PKM_SMG_031,Empathy,-4.107,0.0,lebih jarang dikeluhkan,8205
PKM_SMG_032,Empathy,-3.597,0.0003,lebih jarang dikeluhkan,8205
PKM_SMG_033,Empathy,-1.195,0.232,setara,8229
PKM_SMG_034,Empathy,-2.039,0.0414,lebih jarang dikeluhkan,8249
PKM_SMG_035,Empathy,-1.171,0.2415,setara,8171
